date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:37:19	77160/77160	---M--	200	added ('OK')	font/woff2	etag:%2213602d4-12d68-5444718dc2280%22	https://www.caprin.pe/lib/font-awesome/fonts/fontawesome-webfont.woff2?v=4.7.0	D:/caprin/capri/www.caprin.pe/lib/font-awesome/fonts/fontawesome-webfont3e6e.woff2	(from https://www.caprin.pe/lib/font-awesome/css/font-awesome.min.css)
19:37:19	165742/165742	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%2213602d1-2876e-5444718dc2280%22	https://www.caprin.pe/lib/font-awesome/fonts/fontawesome-webfont.eot?	D:/caprin/capri/www.caprin.pe/lib/font-awesome/fonts/fontawesome-webfontd41d.eot	(from https://www.caprin.pe/lib/font-awesome/css/font-awesome.min.css)
19:37:19	98024/98024	---M--	200	added ('OK')	font/woff	etag:%2213602cf-17ee8-5444718dc2280%22	https://www.caprin.pe/lib/font-awesome/fonts/fontawesome-webfont.woff?v=4.7.0	D:/caprin/capri/www.caprin.pe/lib/font-awesome/fonts/fontawesome-webfont3e6e.woff	(from https://www.caprin.pe/lib/font-awesome/css/font-awesome.min.css)
19:37:20	973/973	---M--	200	added ('OK')	image/svg+xml	etag:%221360290-3cd-54a308746c100%22	https://www.caprin.pe/img/preloader.svg	D:/caprin/capri/www.caprin.pe/img/preloader.svg	(from https://www.caprin.pe/css/style.css)
19:37:20	165548/165548	---M--	200	added ('OK')	font/ttf	etag:%2213602d0-286ac-5444718dc2280%22	https://www.caprin.pe/lib/font-awesome/fonts/fontawesome-webfont.ttf?v=4.7.0	D:/caprin/capri/www.caprin.pe/lib/font-awesome/fonts/fontawesome-webfont3e6e.ttf	(from https://www.caprin.pe/lib/font-awesome/css/font-awesome.min.css)
19:37:20	444379/444379	---M--	200	added ('OK')	image/svg+xml	etag:%2213602d2-6c7db-5444718dc2280%22	https://www.caprin.pe/lib/font-awesome/fonts/fontawesome-webfont.svg?v=4.7.0	D:/caprin/capri/www.caprin.pe/lib/font-awesome/fonts/fontawesome-webfont3e6e.svg	(from https://www.caprin.pe/lib/font-awesome/css/font-awesome.min.css)
19:37:21	99735/99735	---M--	200	added ('OK')	image/jpeg	etag:%22136028b-18597-54a1a05e43400%22	https://www.caprin.pe/img/about-img.jpg	D:/caprin/capri/www.caprin.pe/img/about-img.jpg	(from https://www.caprin.pe/css/style.css)
19:37:21	254892/254892	---M--	200	added ('OK')	image/png	etag:%22136022e-3e3ac-5b613bb167bc0%22	https://www.caprin.pe/img/productos/Slider/slider1.png	D:/caprin/capri/www.caprin.pe/img/productos/Slider/slider1.png	(from https://www.caprin.pe/css/style.css)
19:37:23	372830/372830	---M--	200	added ('OK')	image/png	etag:%22136022d-5b05e-5b613bb25be00%22	https://www.caprin.pe/img/productos/Slider/slider3.png	D:/caprin/capri/www.caprin.pe/img/productos/Slider/slider3.png	(from https://www.caprin.pe/css/style.css)
19:37:23	254897/254897	---M--	200	added ('OK')	image/png	etag:%22136022b-3e3b1-5b613bb25be00%22	https://www.caprin.pe/img/productos/Slider/slider2.png	D:/caprin/capri/www.caprin.pe/img/productos/Slider/slider2.png	(from https://www.caprin.pe/css/style.css)
19:37:23	347144/347144	---M--	200	added ('OK')	image/jpeg	etag:%221360291-54c08-54a167e677a80%22	https://www.caprin.pe/img/services-bg.jpg	D:/caprin/capri/www.caprin.pe/img/services-bg.jpg	(from https://www.caprin.pe/css/style.css)
19:37:24	421380/421380	---M--	200	added ('OK')	image/jpeg	etag:%22136028c-66e04-54a1a3a57f000%22	https://www.caprin.pe/img/subscribe-bg.jpg	D:/caprin/capri/www.caprin.pe/img/subscribe-bg.jpg	(from https://www.caprin.pe/css/style.css)
19:37:24	327601/327601	---M--	200	added ('OK')	image/png	etag:%22136022c-4ffb1-5b613bb25be00%22	https://www.caprin.pe/img/productos/Slider/slider4.png	D:/caprin/capri/www.caprin.pe/img/productos/Slider/slider4.png	(from https://www.caprin.pe/css/style.css)
